abv,ibu,id,name,style,brewery_id,ounces,brewery_idbrewery_,namebrewery_,city,state
0.05,20.0,2674,The Brown Note,English Brown Ale,1,16.0,1,Against the Grain Brewery,Louisville, KY
0.053,35.0,1594,Maylani's Coconut Stout,American Stout,367,16.0,367,Airways Brewing Company,Kent, WA
0.05,35.0,1162,Oatmeal PSA,American Pale Ale (APA),367,16.0,367,Airways Brewing Company,Kent, WA
0.052,33.0,1137,Pre Flight Pilsner,American Pilsner,367,16.0,367,Airways Brewing Company,Kent, WA
0.04,20.0,2403,P-Town Pilsner,American Pilsner,117,12.0,117,Alameda Brewing,Portland, OR
0.053,36.0,2402,Klickitat Pale Ale,American Pale Ale (APA),117,12.0,117,Alameda Brewing,Portland, OR
0.0819999999999999,103.0,2401,Yellow Wolf Imperial IPA,American Double / Imperial IPA,117,12.0,117,Alameda Brewing,Portland, OR
0.053,40.0,1921,Freeride APA,American Pale Ale (APA),270,12.0,270,Alaskan Brewing Company,Juneau, AK
0.053,18.0,1920,Alaskan Amber,Altbier,270,12.0,270,Alaskan Brewing Company,Juneau, AK
0.062,43.0,837,Desolation IPA,American IPA,401,16.0,401,Amnesia Brewing Company,Washougal, WA
0.057,13.0,1520,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12.0,171,Anderson Valley Brewing Company,Boonville, CA
0.0559999999999999,4.0,1350,Summer Solstice,Cream Ale,171,12.0,171,Anderson Valley Brewing Company,Boonville, CA
0.07,80.0,1327,Hop Ottin' IPA,American IPA,171,12.0,171,Anderson Valley Brewing Company,Boonville, CA
0.0579999999999999,15.0,1326,Boont Amber Ale,American Amber / Red Ale,171,12.0,171,Anderson Valley Brewing Company,Boonville, CA
0.057,13.0,1221,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12.0,171,Anderson Valley Brewing Company,Boonville, CA
0.055,25.0,1217,El Steinber Dark Lager,Vienna Lager,171,16.0,171,Anderson Valley Brewing Company,Boonville, CA
0.0579999999999999,15.0,811,Boont Amber Ale (2010),American Amber / Red Ale,171,12.0,171,Anderson Valley Brewing Company,Boonville, CA
0.0559999999999999,4.0,753,Summer Solstice Cerveza Crema (2009),Cream Ale,171,12.0,171,Anderson Valley Brewing Company,Boonville, CA
0.057,13.0,572,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,171,12.0,171,Anderson Valley Brewing Company,Boonville, CA
0.069,6.0,523,Winter Solstice,Winter Warmer,171,12.0,171,Anderson Valley Brewing Company,Boonville, CA
0.07,80.0,367,Hop Ottin' IPA (2011),American IPA,171,12.0,171,Anderson Valley Brewing Company,Boonville, CA
0.0579999999999999,15.0,78,Boont Amber Ale (2011),American Amber / Red Ale,171,12.0,171,Anderson Valley Brewing Company,Boonville, CA
0.0559999999999999,4.0,77,Summer Solstice (2011),Cream Ale,171,12.0,171,Anderson Valley Brewing Company,Boonville, CA
0.055,28.0,76,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),171,12.0,171,Anderson Valley Brewing Company,Boonville, CA
0.071,75.0,2511,Long Leaf,American IPA,69,16.0,69,Appalachian Mountain Brewery,Boone, NC
0.047,19.0,2510,Honey Badger Blonde,American Blonde Ale,69,16.0,69,Appalachian Mountain Brewery,Boone, NC
0.06,23.0,2509,Porter (a/k/a Black Gold Porter),American Porter,69,16.0,69,Appalachian Mountain Brewery,Boone, NC
0.06,55.0,413,Sky High Rye,American Pale Ale (APA),541,12.0,541,Arcadia Brewing Company,Battle Creek, MI
0.062,17.0,390,Whitsun,American Pale Wheat Ale,541,12.0,541,Arcadia Brewing Company,Battle Creek, MI
0.092,50.0,1333,Quakertown Stout,American Double / Imperial Stout,426,12.0,426,Armadillo Ale Works,Denton, TX
0.051,20.0,1332,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,426,12.0,426,Armadillo Ale Works,Denton, TX
0.052,10.0,1172,Mo's Gose,Gose,461,16.0,461,Armstrong Brewing Company,South San Francisco, CA
0.07,45.0,1322,Green Bullet Organic India Pale Ale,American IPA,429,16.0,429,Asher Brewing Company,Boulder, CO
0.032,27.0,550,Rocket Girl,Kölsch,528,12.0,528,Asheville Brewing Company,Asheville, NC
0.053,26.0,429,Ninja Porter,American Porter,528,12.0,528,Asheville Brewing Company,Asheville, NC
0.06,69.0,428,Shiva IPA,American IPA,528,12.0,528,Asheville Brewing Company,Asheville, NC
0.0559999999999999,27.0,597,This Season's Blonde,American Blonde Ale,523,12.0,523,Aspen Brewing Company,Aspen, CO
0.07,67.0,596,Independence Pass Ale,American IPA,523,12.0,523,Aspen Brewing Company,Aspen, CO
0.057,40.0,1580,Trolley Stop Stout,American Stout,374,12.0,374,Astoria Brewing Company,Astoria, OR
0.0819999999999999,138.0,980,Bitter Bitch Imperial IPA,American Double / Imperial IPA,374,12.0,374,Astoria Brewing Company,Astoria, OR
0.062,35.0,979,Poop Deck Porter,American Porter,374,12.0,374,Astoria Brewing Company,Astoria, OR
0.06,35.0,978,Old Red Beard Amber Ale,American Amber / Red Ale,374,12.0,374,Astoria Brewing Company,Astoria, OR
0.075,115.0,2503,Hop A-Peel,American Double / Imperial IPA,72,16.0,72,Atwater Brewery,Detroit, MI
0.055,12.0,2502,Vanilla Java Porter,American Porter,72,16.0,72,Atwater Brewery,Detroit, MI
0.045,8.0,534,Dirty Blonde Ale,American Blonde Ale,72,12.0,72,Atwater Brewery,Detroit, MI
0.05,62.0,528,Grand Circus IPA,American IPA,72,12.0,72,Atwater Brewery,Detroit, MI
0.05,12.0,527,Atwater's Lager,Munich Helles Lager,72,12.0,72,Atwater Brewery,Detroit, MI
0.047,42.0,146,Avery Joe’s Premium American Pilsner,German Pilsener,37,12.0,37,Avery Brewing Company,Boulder, CO
0.0559999999999999,10.0,108,White Rascal,Witbier,37,12.0,37,Avery Brewing Company,Boulder, CO
0.063,69.0,107,Avery India Pale Ale,American IPA,37,12.0,37,Avery Brewing Company,Boulder, CO
0.055,17.0,106,Ellie’s Brown Ale,American Brown Ale,37,12.0,37,Avery Brewing Company,Boulder, CO
0.062,17.0,1620,Pumpkin Beast,Pumpkin Ale,360,12.0,360,Aviator Brewing Company,Fuquay-Varina, NC
0.072,22.0,1579,OktoberBeast,Märzen / Oktoberfest,360,12.0,360,Aviator Brewing Company,Fuquay-Varina, NC
0.048,23.0,1228,Mad Beach,American Pale Wheat Ale,360,12.0,360,Aviator Brewing Company,Fuquay-Varina, NC
0.092,5.0,704,Devils Tramping Ground Tripel,Tripel,360,12.0,360,Aviator Brewing Company,Fuquay-Varina, NC
0.061,41.0,702,Hot Rod Red,American Amber / Red Ale,360,12.0,360,Aviator Brewing Company,Fuquay-Varina, NC
0.06,43.0,1875,Naked Pig Pale Ale,American Pale Ale (APA),286,12.0,286,Back Forty Beer Company,Gadsden, AL
0.068,70.0,966,Topcutter India Pale Ale,American IPA,483,12.0,483,Bale Breaker Brewing Company,Yakima, WA
0.044,38.0,965,Field 41 Pale Ale,American Pale Ale (APA),483,12.0,483,Bale Breaker Brewing Company,Yakima, WA
0.038,40.0,2105,Even Keel,American IPA,34,12.0,34,Ballast Point Brewing Company,San Diego, CA
0.052,23.0,1401,Ballast Point Pale Ale,Kölsch,34,12.0,34,Ballast Point Brewing Company,San Diego, CA
0.07,75.0,1400,Big Eye India Pale Ale,American IPA,34,12.0,34,Ballast Point Brewing Company,San Diego, CA
0.07,70.0,1018,Sculpin IPA,American IPA,34,12.0,34,Ballast Point Brewing Company,San Diego, CA
0.045,20.0,1644,Banner American Rye,Rye Beer,318,12.0,318,Banner Beer Company,Williamsburg, MA
0.035,45.0,1643,Banner American Ale,American Amber / Red Ale,318,12.0,318,Banner Beer Company,Williamsburg, MA
0.07,46.0,2618,Thai.p.a,American IPA,20,16.0,20,Bare Hands Brewery,Granger, IN
0.06,60.0,2005,Barrio Blanco,American IPA,251,12.0,251,Barrio Brewing Company,Tucson, AZ
0.049,22.0,2404,Hop in the ‘Pool Helles,American Pilsner,116,12.0,116,Base Camp Brewing Co.,Portland, OR
0.067,60.0,2323,Ultra Gnar Gnar IPA,American IPA,116,12.0,116,Base Camp Brewing Co.,Portland, OR
0.068,62.0,2189,In-Tents India Pale Lager,American Pale Lager,116,12.0,116,Base Camp Brewing Co.,Portland, OR
0.05,20.0,2188,Lost Meridian Wit,Witbier,116,12.0,116,Base Camp Brewing Co.,Portland, OR
0.051,45.0,2187,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,116,12.0,116,Base Camp Brewing Co.,Portland, OR
0.054,55.0,1966,Wagon Party,California Common / Steam Beer,258,12.0,258,Bauhaus Brew Labs,Minneapolis, MN
0.067,70.0,1965,Sky-Five,American IPA,258,12.0,258,Bauhaus Brew Labs,Minneapolis, MN
0.05,28.0,1964,Stargrazer,Schwarzbier,258,12.0,258,Bauhaus Brew Labs,Minneapolis, MN
0.054,48.0,1963,Wonderstuff,German Pilsener,258,12.0,258,Bauhaus Brew Labs,Minneapolis, MN
0.07,42.0,1778,On the Count of 3 (2015),Hefeweizen,292,16.0,292,Baxter Brewing Company,Lewiston, ME
0.055,35.0,533,Amber Road,American Amber / Red Ale,292,12.0,292,Baxter Brewing Company,Lewiston, ME
0.049,28.0,183,Pamola Xtra Pale Ale,American Pale Ale (APA),292,12.0,292,Baxter Brewing Company,Lewiston, ME
0.069,69.0,182,Stowaway IPA,American IPA,292,12.0,292,Baxter Brewing Company,Lewiston, ME
0.088,108.0,1806,Hoptopus Double IPA,American Double / Imperial IPA,306,16.0,306,Beach Brewing Company,Virginia Beach, VA
0.05,10.0,2435,Watermelon Ale,Fruit / Vegetable Beer,103,12.0,103,Beer Works Brewery,Lowell, MA
0.0579999999999999,45.0,2423,Fenway American Pale Ale,American Pale Ale (APA),103,12.0,103,Beer Works Brewery,Lowell, MA
0.068,85.0,2420,Back Bay IPA,American IPA,103,12.0,103,Beer Works Brewery,Lowell, MA
0.048,16.0,2419,Bunker Hill Blueberry Ale ,Other,103,12.0,103,Beer Works Brewery,Lowell, MA
0.044,44.0,2558,Moar,English India Pale Ale (IPA),53,12.0,53,Bent Brewstillery,Roseville, MN
0.057,27.0,2556,Nordic Blonde,American Blonde Ale,53,12.0,53,Bent Brewstillery,Roseville, MN
0.072,87.0,2410,Harness the Winter,American IPA,75,12.0,75,Bent Paddle Brewing Company,Duluth, MN
0.0559999999999999,32.0,1902,14° ESB ,Extra Special / Strong Bitter (ESB),75,12.0,75,Bent Paddle Brewing Company,Duluth, MN
0.062,68.0,1901,Bent Hop Golden IPA,American IPA,75,12.0,75,Bent Paddle Brewing Company,Duluth, MN
0.06,34.0,1261,Bent Paddle Black Ale,American Black Ale,75,12.0,75,Bent Paddle Brewing Company,Duluth, MN
0.05,38.0,1253,Venture Pils,German Pilsener,75,12.0,75,Bent Paddle Brewing Company,Duluth, MN
0.055,40.0,1900,Lost Sailor IPA,English India Pale Ale (IPA),278,12.0,278,Berkshire Brewing Company,South Deerfield, MA
0.053,20.0,1317,Steel Rail Extra Pale Ale,American Pale Ale (APA),278,12.0,278,Berkshire Brewing Company,South Deerfield, MA
0.081,17.0,2104,Aprè Shred,American Strong Ale,220,16.0,220,Big Choice Brewing,Broomfield, CO
0.095,104.0,1762,Hemlock Double IPA,American Double / Imperial IPA,220,12.0,220,Big Choice Brewing,Broomfield, CO
0.067,85.0,1067,Disconnected Red,American Amber / Red Ale,220,16.0,220,Big Choice Brewing,Broomfield, CO
0.08,54.0,2639,Dark Star,American Stout,8,16.0,8,Big Lake Brewing,Holland, MI
0.075,60.0,2585,Galaxy IPA,American IPA,40,16.0,40,Big Muddy Brewing,Murphysboro, IL
0.05,32.0,643,Big River Pilsner,Czech Pilsener,519,12.0,519,Big River Brewing Company,Chattanooga, TN
0.06,55.0,632,House Brand IPA,American IPA,519,12.0,519,Big River Brewing Company,Chattanooga, TN
0.062,65.0,1714,Big Sky IPA,American IPA,336,12.0,336,Big Sky Brewing Company,Missoula, MT
0.05,40.0,1713,Scape Goat Pale Ale,English Pale Ale,336,12.0,336,Big Sky Brewing Company,Missoula, MT
0.05,35.0,1712,Montana Trout Slayer Ale,American Pale Wheat Ale,336,12.0,336,Big Sky Brewing Company,Missoula, MT
0.051,26.0,1711,Moose Drool Brown Ale,American Brown Ale,336,12.0,336,Big Sky Brewing Company,Missoula, MT
0.072,60.0,1456,Powder Hound Winter Ale,English Strong Ale,336,12.0,336,Big Sky Brewing Company,Missoula, MT
0.051,26.0,767,Moose Drool Brown Ale (2011),American Brown Ale,336,12.0,336,Big Sky Brewing Company,Missoula, MT
0.05,35.0,766,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,336,12.0,336,Big Sky Brewing Company,Missoula, MT
0.062,65.0,579,Big Sky IPA (2012),American IPA,336,12.0,336,Big Sky Brewing Company,Missoula, MT
0.05,40.0,159,Scape Goat Pale Ale (2010),English Pale Ale,336,12.0,336,Big Sky Brewing Company,Missoula, MT
0.05,35.0,35,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,336,12.0,336,Big Sky Brewing Company,Missoula, MT
0.051,26.0,34,Moose Drool Brown Ale (2009),American Brown Ale,336,12.0,336,Big Sky Brewing Company,Missoula, MT
0.069,81.0,2096,Arcus IPA,American IPA,221,12.0,221,Big Storm Brewing Company,Odessa, FL
0.0579999999999999,38.0,2095,Wavemaker,American Amber / Red Ale,221,12.0,221,Big Storm Brewing Company,Odessa, FL
0.053,43.0,1257,Jack Pine Savage,American Pale Ale (APA),444,16.0,444,Big Wood Brewery,Vadnais Heights, MN
0.099,85.0,1256,Forest Fire Imperial Smoked Rye,Rye Beer,444,16.0,444,Big Wood Brewery,Vadnais Heights, MN
0.098,76.0,1255,Bad Axe Imperial IPA,American Double / Imperial IPA,444,16.0,444,Big Wood Brewery,Vadnais Heights, MN
0.055,35.0,986,Morning Wood,Oatmeal Stout,444,16.0,444,Big Wood Brewery,Vadnais Heights, MN
0.066,50.0,985,Bark Bite IPA,American IPA,444,16.0,444,Big Wood Brewery,Vadnais Heights, MN
0.055,45.0,2508,Jalapeno Pale Ale,American Pale Ale (APA),70,16.0,70,Birdsong Brewing Company,Charlotte, NC
0.072,75.0,2620,Saucy Intruder,Rye Beer,18,16.0,18,Black Acre Brewing Co.,Indianapolis, IN
0.045,16.0,2412,Deception,American Blonde Ale,112,12.0,112,Black Market Brewing Company,Temecula, CA
0.075,35.0,1898,Blackmarket Rye IPA,American IPA,112,12.0,112,Black Market Brewing Company,Temecula, CA
0.05,8.0,1897,Black Market Hefeweizen,Hefeweizen,112,12.0,112,Black Market Brewing Company,Temecula, CA
0.0579999999999999,44.0,1896,Aftermath Pale Ale,American Pale Ale (APA),112,12.0,112,Black Market Brewing Company,Temecula, CA
0.071,83.0,1850,American India Red Ale,American Strong Ale,294,12.0,294,Black Shirt Brewing Company,Denver, CO
0.071,45.0,1849,American Red Porter,American Porter,294,12.0,294,Black Shirt Brewing Company,Denver, CO
0.078,34.0,1848,American Red Saison,Saison / Farmhouse Ale,294,12.0,294,Black Shirt Brewing Company,Denver, CO
0.066,44.0,1847,Colorado Red Ale,American Amber / Red Ale,294,12.0,294,Black Shirt Brewing Company,Denver, CO
0.048,16.0,2485,Saddle Bronc Brown Ale,American Brown Ale,79,12.0,79,Black Tooth Brewing Company,Sheridan, WY
0.046,20.0,2484,Bomber Mountain Amber Ale,American Amber / Red Ale,79,12.0,79,Black Tooth Brewing Company,Sheridan, WY
0.048,47.0,2634,Nordskye ,American IPA,12,12.0,12,Blackrocks Brewery,Marquette, MI
0.06,30.0,2153,North Third Stout,Foreign / Export Stout,12,12.0,12,Blackrocks Brewery,Marquette, MI
0.07,51.0,1481,51K IPA,American IPA,12,12.0,12,Blackrocks Brewery,Marquette, MI
0.0559999999999999,37.0,888,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12.0,380,Blue Blood Brewing Company,Lincoln, NE
0.0559999999999999,37.0,886,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12.0,380,Blue Blood Brewing Company,Lincoln, NE
0.0559999999999999,37.0,612,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12.0,380,Blue Blood Brewing Company,Lincoln, NE
0.046,35.0,611,834 Happy As Ale,American Pale Ale (APA),380,12.0,380,Blue Blood Brewing Company,Lincoln, NE
0.08,80.0,1812,Quarter Mile Double IPA,American Double / Imperial IPA,304,12.0,304,Blue Hills Brewery,Canton, MA
0.059,60.0,1547,Full Nelson Pale Ale,American Pale Ale (APA),382,12.0,382,Blue Mountain Brewery,Afton, VA
0.065,30.0,1546,Steel Wheels ESB,Extra Special / Strong Bitter (ESB),382,12.0,382,Blue Mountain Brewery,Afton, VA
0.053,22.0,1545,Blue Mountain Classic Lager,Euro Pale Lager,382,12.0,382,Blue Mountain Brewery,Afton, VA
0.059,60.0,119,Full Nelson Pale Ale (2010),American Pale Ale (APA),382,12.0,382,Blue Mountain Brewery,Afton, VA
0.049,16.0,1408,Kölsch 151,Kölsch,414,12.0,414,Blue Mountain Brewery,Arrington, VA
0.06,40.0,692,Blue Point White IPA,American White IPA,489,12.0,489,Blue Point Brewing Company,Patchogue, NY
0.044,16.0,667,Blue Point Summer Ale,American Blonde Ale,489,12.0,489,Blue Point Brewing Company,Patchogue, NY
0.055,28.0,665,Toasted Lager,Vienna Lager,489,12.0,489,Blue Point Brewing Company,Patchogue, NY
0.042,30.0,1891,Longhop IPA,American IPA,281,16.0,281,Bolero Snort Brewery,Ridgefield Park, NJ
0.04,34.0,1890,Lucky Buck,Irish Dry Stout,281,16.0,281,Bolero Snort Brewery,Ridgefield Park, NJ
0.045,27.0,513,Bomb Lager (Old Recipe),Munich Helles Lager,525,12.0,525,Bomb Beer Company,New York, NY
0.066,72.0,2422,Firestarter India Pale Ale,American IPA,107,12.0,107,Bonfire Brewing Company,Eagle, CO
0.075,22.0,1727,Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,107,16.0,107,Bonfire Brewing Company,Eagle, CO
0.048,30.0,1614,Wood Splitter Pilsner,Czech Pilsener,107,16.0,107,Bonfire Brewing Company,Eagle, CO
0.0559999999999999,26.0,1613,Gyptoberfest,Märzen / Oktoberfest,107,12.0,107,Bonfire Brewing Company,Eagle, CO
0.07,94.0,1549,Farmer Wirtz India Pale Ale,English India Pale Ale (IPA),107,16.0,107,Bonfire Brewing Company,Eagle, CO
0.048,38.0,1360,Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),107,12.0,107,Bonfire Brewing Company,Eagle, CO
0.053,45.0,1183,Kindler Pale Ale,American Pale Ale (APA),107,12.0,107,Bonfire Brewing Company,Eagle, CO
0.066,72.0,633,Firestarter India Pale Ale,American IPA,107,16.0,107,Bonfire Brewing Company,Eagle, CO
0.071,16.0,2062,Noche Dulce,American Porter,231,16.0,231,Borderlands Brewing Company,Tucson, AZ
0.045,8.0,1830,Porch Rocker,Radler,300,12.0,300,Boston Beer Company,Boston, MA
0.065,45.0,1629,Rebel IPA,American IPA,300,16.0,300,Boston Beer Company,Boston, MA
0.049,30.0,1349,Boston Lager,Vienna Lager,300,16.0,300,Boston Beer Company,Boston, MA
0.049,30.0,1310,Boston Lager,Vienna Lager,300,12.0,300,Boston Beer Company,Boston, MA
0.053,15.0,1281,Samuel Adams Octoberfest,Märzen / Oktoberfest,300,12.0,300,Boston Beer Company,Boston, MA
0.053,7.0,1144,Samuel Adams Summer Ale,American Pale Wheat Ale,300,12.0,300,Boston Beer Company,Boston, MA
0.049,30.0,1143,Boston Lager,Vienna Lager,300,12.0,300,Boston Beer Company,Boston, MA
0.049,35.0,1395,Hazed & Infused,American Pale Ale (APA),417,12.0,417,Boulder Beer Company,Boulder, CO
0.057,35.0,808,Hoopla Pale Ale,American Pale Ale (APA),417,12.0,417,Boulder Beer Company,Boulder, CO
0.049,35.0,81,Hazed & Infused (2010),American Pale Ale (APA),417,12.0,417,Boulder Beer Company,Boulder, CO
0.062,80.0,2596,Heavy Lifting,American IPA,31,12.0,31,Boulevard Brewing Company,Kansas City, MO
0.06,52.0,2107,Plum St. Porter,American Porter,219,12.0,219,Bozeman Brewing Company,Bozeman, MT
0.057,52.0,1573,Plum St. Porter,American Porter,219,12.0,219,Bozeman Brewing Company,Bozeman, MT
0.07,80.0,1289,Bozone HopZone IPA,American IPA,219,12.0,219,Bozeman Brewing Company,Bozeman, MT
0.06,25.0,1288,Bozone Hefe Weizen,Hefeweizen,219,12.0,219,Bozeman Brewing Company,Bozeman, MT
0.052,40.0,2167,Evil Owl,American Amber / Red Ale,207,12.0,207,Branchline Brewing Company,San Antonio, TX
0.042,9.0,1522,Agave Wheat,American Pale Wheat Ale,391,12.0,391,Breckenridge Brewery,Denver, CO
0.045,15.0,397,SummerBright Ale,American Pale Wheat Ale,391,12.0,391,Breckenridge Brewery,Denver, CO
0.062,68.0,193,Lucky U IPA,American IPA,391,12.0,391,Breckenridge Brewery,Denver, CO
0.054,19.0,83,Avalanche Ale,American Amber / Red Ale,391,12.0,391,Breckenridge Brewery,Denver, CO
0.072,60.0,1801,Last Stop IPA,American IPA,308,12.0,308,Brew Bus Brewing,Tampa, FL
0.05,21.0,1800,Rollin Dirty Red Ale,Irish Red Ale,308,12.0,308,Brew Bus Brewing,Tampa, FL
0.055,28.0,1799,Are Wheat There Yet?,American Pale Wheat Ale,308,12.0,308,Brew Bus Brewing,Tampa, FL
0.05,15.0,921,Northern Lights Amber Ale,American Amber / Red Ale,493,12.0,493,Broken Tooth Brewing Company,Anchorage, AK
0.052,17.0,920,Polar Pale Ale,American Pale Ale (APA),493,12.0,493,Broken Tooth Brewing Company,Anchorage, AK
0.061,64.0,648,Fairweather IPA,American IPA,493,12.0,493,Broken Tooth Brewing Company,Anchorage, AK
0.068,47.0,1279,East India Pale Ale,English India Pale Ale (IPA),437,16.0,437,Brooklyn Brewery,Brooklyn, NY
0.068,47.0,566,East India Pale Ale,English India Pale Ale (IPA),437,12.0,437,Brooklyn Brewery,Brooklyn, NY
0.073,85.0,383,Black Adder IBA (Current),American Black Ale,530,16.0,530,Buckbean Brewing Company,Reno, NV
