abv,ibu,beer_id,beer_name,style,style_group,ounces,brewery_id
0.05,35.0,1162,Oatmeal PSA,American Pale Ale (APA),American Pale Ale (APA),16.0,367
0.052,33.0,1137,Pre Flight Pilsner,American Pilsner,other,16.0,367
0.04,20.0,2403,P-Town Pilsner,American Pilsner,other,12.0,117
0.053,36.0,2402,Klickitat Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,117
0.0819999999999999,103.0,2401,Yellow Wolf Imperial IPA,American Double / Imperial IPA,American Double / Imperial IPA,12.0,117
0.053,40.0,1921,Freeride APA,American Pale Ale (APA),American Pale Ale (APA),12.0,270
0.053,18.0,1920,Alaskan Amber,Altbier,other,12.0,270
0.062,43.0,837,Desolation IPA,American IPA,American IPA,16.0,401
0.057,13.0,1520,Barney Flats Oatmeal Stout,Oatmeal Stout,other,12.0,171
0.0559999999999999,4.0,1350,Summer Solstice,Cream Ale,other,12.0,171
0.07,80.0,1327,Hop Ottin' IPA,American IPA,American IPA,12.0,171
0.0579999999999999,15.0,1326,Boont Amber Ale,American Amber / Red Ale,American Amber / Red Ale,12.0,171
0.055,25.0,1217,El Steinber Dark Lager,Vienna Lager,other,16.0,171
0.0579999999999999,15.0,811,Boont Amber Ale (2010),American Amber / Red Ale,American Amber / Red Ale,12.0,171
0.0559999999999999,4.0,753,Summer Solstice Cerveza Crema (2009),Cream Ale,other,12.0,171
0.057,13.0,572,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,other,12.0,171
0.069,6.0,523,Winter Solstice,Winter Warmer,other,12.0,171
0.07,80.0,367,Hop Ottin' IPA (2011),American IPA,American IPA,12.0,171
0.0579999999999999,15.0,78,Boont Amber Ale (2011),American Amber / Red Ale,American Amber / Red Ale,12.0,171
0.0559999999999999,4.0,77,Summer Solstice (2011),Cream Ale,other,12.0,171
0.055,28.0,76,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),American Pale Ale (APA),12.0,171
0.071,75.0,2511,Long Leaf,American IPA,American IPA,16.0,69
0.047,19.0,2510,Honey Badger Blonde,American Blonde Ale,American Blonde Ale,16.0,69
0.06,23.0,2509,Porter (a/k/a Black Gold Porter),American Porter,American Porter,16.0,69
0.06,55.0,413,Sky High Rye,American Pale Ale (APA),American Pale Ale (APA),12.0,541
0.062,17.0,390,Whitsun,American Pale Wheat Ale,American Pale Wheat Ale,12.0,541
0.092,50.0,1333,Quakertown Stout,American Double / Imperial Stout,other,12.0,426
0.051,20.0,1332,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,other,12.0,426
0.052,10.0,1172,Mo's Gose,Gose,other,16.0,461
0.07,45.0,1322,Green Bullet Organic India Pale Ale,American IPA,American IPA,16.0,429
0.032,27.0,550,Rocket Girl,Kölsch,Kölsch,12.0,528
0.053,26.0,429,Ninja Porter,American Porter,American Porter,12.0,528
0.06,69.0,428,Shiva IPA,American IPA,American IPA,12.0,528
0.0559999999999999,27.0,597,This Season's Blonde,American Blonde Ale,American Blonde Ale,12.0,523
0.07,67.0,596,Independence Pass Ale,American IPA,American IPA,12.0,523
0.057,40.0,1580,Trolley Stop Stout,American Stout,other,12.0,374
0.0819999999999999,138.0,980,Bitter Bitch Imperial IPA,American Double / Imperial IPA,American Double / Imperial IPA,12.0,374
0.062,35.0,979,Poop Deck Porter,American Porter,American Porter,12.0,374
0.06,35.0,978,Old Red Beard Amber Ale,American Amber / Red Ale,American Amber / Red Ale,12.0,374
0.075,115.0,2503,Hop A-Peel,American Double / Imperial IPA,American Double / Imperial IPA,16.0,72
0.055,12.0,2502,Vanilla Java Porter,American Porter,American Porter,16.0,72
0.045,8.0,534,Dirty Blonde Ale,American Blonde Ale,American Blonde Ale,12.0,72
0.05,62.0,528,Grand Circus IPA,American IPA,American IPA,12.0,72
0.05,12.0,527,Atwater's Lager,Munich Helles Lager,other,12.0,72
0.047,42.0,146,Avery Joe’s Premium American Pilsner,German Pilsener,other,12.0,37
0.0559999999999999,10.0,108,White Rascal,Witbier,other,12.0,37
0.063,69.0,107,Avery India Pale Ale,American IPA,American IPA,12.0,37
0.055,17.0,106,Ellie’s Brown Ale,American Brown Ale,American Brown Ale,12.0,37
0.062,17.0,1620,Pumpkin Beast,Pumpkin Ale,other,12.0,360
0.072,22.0,1579,OktoberBeast,Märzen / Oktoberfest,other,12.0,360
0.048,23.0,1228,Mad Beach,American Pale Wheat Ale,American Pale Wheat Ale,12.0,360
0.092,5.0,704,Devils Tramping Ground Tripel,Tripel,other,12.0,360
0.061,41.0,702,Hot Rod Red,American Amber / Red Ale,American Amber / Red Ale,12.0,360
0.06,43.0,1875,Naked Pig Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,286
0.068,70.0,966,Topcutter India Pale Ale,American IPA,American IPA,12.0,483
0.044,38.0,965,Field 41 Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,483
0.038,40.0,2105,Even Keel,American IPA,American IPA,12.0,34
0.052,23.0,1401,Ballast Point Pale Ale,Kölsch,Kölsch,12.0,34
0.07,75.0,1400,Big Eye India Pale Ale,American IPA,American IPA,12.0,34
0.07,70.0,1018,Sculpin IPA,American IPA,American IPA,12.0,34
0.045,20.0,1644,Banner American Rye,Rye Beer,other,12.0,318
0.035,45.0,1643,Banner American Ale,American Amber / Red Ale,American Amber / Red Ale,12.0,318
0.07,46.0,2618,Thai.p.a,American IPA,American IPA,16.0,20
0.06,60.0,2005,Barrio Blanco,American IPA,American IPA,12.0,251
0.049,22.0,2404,Hop in the ‘Pool Helles,American Pilsner,other,12.0,116
0.067,60.0,2323,Ultra Gnar Gnar IPA,American IPA,American IPA,12.0,116
0.068,62.0,2189,In-Tents India Pale Lager,American Pale Lager,other,12.0,116
0.05,20.0,2188,Lost Meridian Wit,Witbier,other,12.0,116
0.051,45.0,2187,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,other,12.0,116
0.054,55.0,1966,Wagon Party,California Common / Steam Beer,other,12.0,258
0.067,70.0,1965,Sky-Five,American IPA,American IPA,12.0,258
0.05,28.0,1964,Stargrazer,Schwarzbier,other,12.0,258
0.054,48.0,1963,Wonderstuff,German Pilsener,other,12.0,258
0.07,42.0,1778,On the Count of 3 (2015),Hefeweizen,other,16.0,292
0.055,35.0,533,Amber Road,American Amber / Red Ale,American Amber / Red Ale,12.0,292
0.049,28.0,183,Pamola Xtra Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,292
0.069,69.0,182,Stowaway IPA,American IPA,American IPA,12.0,292
0.088,108.0,1806,Hoptopus Double IPA,American Double / Imperial IPA,American Double / Imperial IPA,16.0,306
0.05,10.0,2435,Watermelon Ale,Fruit / Vegetable Beer,Fruit / Vegetable Beer,12.0,103
0.0579999999999999,45.0,2423,Fenway American Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,103
0.068,85.0,2420,Back Bay IPA,American IPA,American IPA,12.0,103
0.048,16.0,2419,Bunker Hill Blueberry Ale ,Other,other,12.0,103
0.044,44.0,2558,Moar,English India Pale Ale (IPA),other,12.0,53
0.057,27.0,2556,Nordic Blonde,American Blonde Ale,American Blonde Ale,12.0,53
0.072,87.0,2410,Harness the Winter,American IPA,American IPA,12.0,75
0.0559999999999999,32.0,1902,14° ESB ,Extra Special / Strong Bitter (ESB),other,12.0,75
0.062,68.0,1901,Bent Hop Golden IPA,American IPA,American IPA,12.0,75
0.06,34.0,1261,Bent Paddle Black Ale,American Black Ale,other,12.0,75
0.05,38.0,1253,Venture Pils,German Pilsener,other,12.0,75
0.055,40.0,1900,Lost Sailor IPA,English India Pale Ale (IPA),other,12.0,278
0.053,20.0,1317,Steel Rail Extra Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,278
0.081,17.0,2104,Aprè Shred,American Strong Ale,other,16.0,220
0.095,104.0,1762,Hemlock Double IPA,American Double / Imperial IPA,American Double / Imperial IPA,12.0,220
0.067,85.0,1067,Disconnected Red,American Amber / Red Ale,American Amber / Red Ale,16.0,220
0.08,54.0,2639,Dark Star,American Stout,other,16.0,8
0.075,60.0,2585,Galaxy IPA,American IPA,American IPA,16.0,40
0.05,32.0,643,Big River Pilsner,Czech Pilsener,other,12.0,519
0.06,55.0,632,House Brand IPA,American IPA,American IPA,12.0,519
0.062,65.0,1714,Big Sky IPA,American IPA,American IPA,12.0,336
0.05,40.0,1713,Scape Goat Pale Ale,English Pale Ale,other,12.0,336
0.05,35.0,1712,Montana Trout Slayer Ale,American Pale Wheat Ale,American Pale Wheat Ale,12.0,336
0.051,26.0,1711,Moose Drool Brown Ale,American Brown Ale,American Brown Ale,12.0,336
0.072,60.0,1456,Powder Hound Winter Ale,English Strong Ale,other,12.0,336
0.051,26.0,767,Moose Drool Brown Ale (2011),American Brown Ale,American Brown Ale,12.0,336
0.05,35.0,766,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,American Pale Wheat Ale,12.0,336
0.062,65.0,579,Big Sky IPA (2012),American IPA,American IPA,12.0,336
0.05,40.0,159,Scape Goat Pale Ale (2010),English Pale Ale,other,12.0,336
0.05,35.0,35,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,American Pale Wheat Ale,12.0,336
0.051,26.0,34,Moose Drool Brown Ale (2009),American Brown Ale,American Brown Ale,12.0,336
0.069,81.0,2096,Arcus IPA,American IPA,American IPA,12.0,221
0.0579999999999999,38.0,2095,Wavemaker,American Amber / Red Ale,American Amber / Red Ale,12.0,221
0.053,43.0,1257,Jack Pine Savage,American Pale Ale (APA),American Pale Ale (APA),16.0,444
0.099,85.0,1256,Forest Fire Imperial Smoked Rye,Rye Beer,other,16.0,444
0.098,76.0,1255,Bad Axe Imperial IPA,American Double / Imperial IPA,American Double / Imperial IPA,16.0,444
0.055,35.0,986,Morning Wood,Oatmeal Stout,other,16.0,444
0.066,50.0,985,Bark Bite IPA,American IPA,American IPA,16.0,444
0.055,45.0,2508,Jalapeno Pale Ale,American Pale Ale (APA),American Pale Ale (APA),16.0,70
0.072,75.0,2620,Saucy Intruder,Rye Beer,other,16.0,18
0.045,16.0,2412,Deception,American Blonde Ale,American Blonde Ale,12.0,112
0.075,35.0,1898,Blackmarket Rye IPA,American IPA,American IPA,12.0,112
0.05,8.0,1897,Black Market Hefeweizen,Hefeweizen,other,12.0,112
0.0579999999999999,44.0,1896,Aftermath Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,112
0.071,83.0,1850,American India Red Ale,American Strong Ale,other,12.0,294
0.071,45.0,1849,American Red Porter,American Porter,American Porter,12.0,294
0.078,34.0,1848,American Red Saison,Saison / Farmhouse Ale,other,12.0,294
0.066,44.0,1847,Colorado Red Ale,American Amber / Red Ale,American Amber / Red Ale,12.0,294
0.048,16.0,2485,Saddle Bronc Brown Ale,American Brown Ale,American Brown Ale,12.0,79
0.046,20.0,2484,Bomber Mountain Amber Ale,American Amber / Red Ale,American Amber / Red Ale,12.0,79
0.048,47.0,2634,Nordskye ,American IPA,American IPA,12.0,12
0.06,30.0,2153,North Third Stout,Foreign / Export Stout,other,12.0,12
0.07,51.0,1481,51K IPA,American IPA,American IPA,12.0,12
0.0559999999999999,37.0,888,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),other,12.0,380
0.046,35.0,611,834 Happy As Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,380
0.08,80.0,1812,Quarter Mile Double IPA,American Double / Imperial IPA,American Double / Imperial IPA,12.0,304
0.059,60.0,1547,Full Nelson Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,382
0.065,30.0,1546,Steel Wheels ESB,Extra Special / Strong Bitter (ESB),other,12.0,382
0.053,22.0,1545,Blue Mountain Classic Lager,Euro Pale Lager,other,12.0,382
0.059,60.0,119,Full Nelson Pale Ale (2010),American Pale Ale (APA),American Pale Ale (APA),12.0,382
0.049,16.0,1408,Kölsch 151,Kölsch,Kölsch,12.0,414
0.06,40.0,692,Blue Point White IPA,American White IPA,other,12.0,489
0.044,16.0,667,Blue Point Summer Ale,American Blonde Ale,American Blonde Ale,12.0,489
0.055,28.0,665,Toasted Lager,Vienna Lager,other,12.0,489
0.042,30.0,1891,Longhop IPA,American IPA,American IPA,16.0,281
0.04,34.0,1890,Lucky Buck,Irish Dry Stout,other,16.0,281
0.045,27.0,513,Bomb Lager (Old Recipe),Munich Helles Lager,other,12.0,525
0.066,72.0,2422,Firestarter India Pale Ale,American IPA,American IPA,12.0,107
0.075,22.0,1727,Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,other,16.0,107
0.048,30.0,1614,Wood Splitter Pilsner,Czech Pilsener,other,16.0,107
0.0559999999999999,26.0,1613,Gyptoberfest,Märzen / Oktoberfest,other,12.0,107
0.07,94.0,1549,Farmer Wirtz India Pale Ale,English India Pale Ale (IPA),other,16.0,107
0.048,38.0,1360,Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),other,12.0,107
0.053,45.0,1183,Kindler Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,107
0.071,16.0,2062,Noche Dulce,American Porter,American Porter,16.0,231
0.045,8.0,1830,Porch Rocker,Radler,other,12.0,300
0.065,45.0,1629,Rebel IPA,American IPA,American IPA,16.0,300
0.049,30.0,1349,Boston Lager,Vienna Lager,other,16.0,300
0.053,15.0,1281,Samuel Adams Octoberfest,Märzen / Oktoberfest,other,12.0,300
0.053,7.0,1144,Samuel Adams Summer Ale,American Pale Wheat Ale,American Pale Wheat Ale,12.0,300
0.049,35.0,1395,Hazed & Infused,American Pale Ale (APA),American Pale Ale (APA),12.0,417
0.057,35.0,808,Hoopla Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,417
0.049,35.0,81,Hazed & Infused (2010),American Pale Ale (APA),American Pale Ale (APA),12.0,417
0.062,80.0,2596,Heavy Lifting,American IPA,American IPA,12.0,31
0.06,52.0,2107,Plum St. Porter,American Porter,American Porter,12.0,219
0.07,80.0,1289,Bozone HopZone IPA,American IPA,American IPA,12.0,219
0.06,25.0,1288,Bozone Hefe Weizen,Hefeweizen,other,12.0,219
0.052,40.0,2167,Evil Owl,American Amber / Red Ale,American Amber / Red Ale,12.0,207
0.042,9.0,1522,Agave Wheat,American Pale Wheat Ale,American Pale Wheat Ale,12.0,391
0.045,15.0,397,SummerBright Ale,American Pale Wheat Ale,American Pale Wheat Ale,12.0,391
0.062,68.0,193,Lucky U IPA,American IPA,American IPA,12.0,391
0.054,19.0,83,Avalanche Ale,American Amber / Red Ale,American Amber / Red Ale,12.0,391
0.072,60.0,1801,Last Stop IPA,American IPA,American IPA,12.0,308
0.05,21.0,1800,Rollin Dirty Red Ale,Irish Red Ale,other,12.0,308
0.055,28.0,1799,Are Wheat There Yet?,American Pale Wheat Ale,American Pale Wheat Ale,12.0,308
0.05,15.0,921,Northern Lights Amber Ale,American Amber / Red Ale,American Amber / Red Ale,12.0,493
0.052,17.0,920,Polar Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,493
0.061,64.0,648,Fairweather IPA,American IPA,American IPA,12.0,493
0.068,47.0,1279,East India Pale Ale,English India Pale Ale (IPA),other,16.0,437
0.073,85.0,383,Black Adder IBA (Current),American Black Ale,other,16.0,530
0.062,42.0,28,Tule Duck Red Ale (Current),American Amber / Red Ale,American Amber / Red Ale,16.0,530
0.0579999999999999,35.0,27,Original Orange Blossom Ale (Current),Herbed / Spiced Beer,other,16.0,530
0.052,40.0,26,Black Noddy Lager (Current),Schwarzbier,other,16.0,530
0.06,40.0,2125,1836,American Blonde Ale,American Blonde Ale,12.0,214
0.06,20.0,2124,Summer's Wit,Witbier,other,12.0,214
0.09,118.0,2123,More Cowbell,American Double / Imperial IPA,American Double / Imperial IPA,16.0,214
0.055,40.0,2478,Pale Alement,American Pale Ale (APA),American Pale Ale (APA),12.0,24
0.099,115.0,2471,Hopkick Dropkick,American Double / Imperial IPA,American Double / Imperial IPA,12.0,24
0.068,16.0,2160,Joey Wheat,American Pale Wheat Ale,American Pale Wheat Ale,16.0,24
0.072,86.0,2158,3:33 Black IPA,American IPA,American IPA,16.0,24
0.05,14.0,2196,Couch Select Lager,American Pale Lager,other,12.0,197
0.0559999999999999,36.0,668,Mucho Aloha Hawaiian Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,517
0.053,25.0,2214,Horny Toad Cerveza,American Blonde Ale,American Blonde Ale,16.0,182
0.063,35.0,2213,Native Amber,American Amber / Red Ale,American Amber / Red Ale,16.0,182
0.068,100.0,1442,F5 IPA,American IPA,American IPA,16.0,182
0.063,35.0,170,Native Amber (2013),American Amber / Red Ale,American Amber / Red Ale,16.0,182
0.053,25.0,169,Horny Toad Cerveza (2013),American Blonde Ale,American Blonde Ale,16.0,182
0.068,100.0,2315,Hopportunity Knocks IPA,American IPA,American IPA,12.0,155
0.0559999999999999,55.0,1419,Caldera Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,155
0.039,16.0,878,Lawnmower Lager,American Adjunct Lager,other,12.0,155
0.054,24.0,794,Ashland Amber Ale (2009),American Amber / Red Ale,American Amber / Red Ale,12.0,155
0.061,94.0,793,Caldera IPA (2009),American IPA,American IPA,12.0,155
0.061,94.0,792,Caldera IPA (2007),American IPA,American IPA,12.0,155
0.0559999999999999,55.0,791,Caldera Pale Ale (2010),American Pale Ale (APA),American Pale Ale (APA),12.0,155
0.0559999999999999,55.0,790,Caldera Pale Ale (2009),American Pale Ale (APA),American Pale Ale (APA),12.0,155
0.0559999999999999,55.0,789,Caldera Pale Ale (2005),American Pale Ale (APA),American Pale Ale (APA),12.0,155
0.0559999999999999,55.0,788,Caldera Pale Ale (2007),American Pale Ale (APA),American Pale Ale (APA),12.0,155
0.0559999999999999,55.0,38,Caldera Pale Ale (2011),American Pale Ale (APA),American Pale Ale (APA),12.0,155
0.054,24.0,37,Ashland Amber Ale,American Amber / Red Ale,American Amber / Red Ale,12.0,155
0.061,94.0,36,Caldera IPA,American IPA,American IPA,12.0,155
0.099,43.0,2068,Imperial Pumpkin Stout,Pumpkin Ale,other,16.0,230
0.09,130.0,2067,Dead-Eye DIPA,American Double / Imperial IPA,American Double / Imperial IPA,16.0,230
0.055,64.0,2066,Fisherman's IPA,American IPA,American IPA,12.0,230
0.054,35.0,2065,Fisherman's Pils,German Pilsener,other,12.0,230
0.055,30.0,2064,Fisherman's Brew,American Amber / Red Ale,American Amber / Red Ale,12.0,230
0.055,35.0,1928,Cape Cod Red,American Amber / Red Ale,American Amber / Red Ale,16.0,267
0.049,10.0,1927,Beach Blonde,American Blonde Ale,American Blonde Ale,16.0,267
0.065,80.0,2227,Dark Voyage Black IPA (2013),American Black Ale,other,12.0,192
0.052,28.0,2226,Wisconsin Amber,Vienna Lager,other,12.0,192
0.046,18.0,2225,Lake House,Munich Helles Lager,other,12.0,192
0.0559999999999999,55.0,1954,Ghost Ship White IPA,American IPA,American IPA,12.0,192
0.062,70.0,1177,Mutiny IPA,American IPA,American IPA,12.0,192
0.059,22.0,2255,Santa's Secret,Winter Warmer,other,16.0,179
0.099,100.0,2094,Epitome,American Black Ale,other,16.0,222
0.039,9.0,1941,Monkey Chased the Weasel,Berliner Weissbier,other,16.0,222
0.078,80.0,1940,077XX,American Double / Imperial IPA,American Double / Imperial IPA,16.0,222
0.042,35.0,1439,Boat Beer,American IPA,American IPA,12.0,222
0.048,16.0,1882,Whitecap Wit,Witbier,other,16.0,285
0.078,16.0,1881,Seiche Scottish Ale,Scottish Ale,other,16.0,285
0.085,90.0,2600,Gone A-Rye,American Double / Imperial IPA,American Double / Imperial IPA,16.0,29
0.068,70.0,2052,Dankosaurus,American IPA,American IPA,16.0,29
0.051,35.0,1584,Scruffy's Smoked Alt,Smoked Beer,other,16.0,29
0.051,36.0,1182,Elliott's Phoned Home Pale Ale,American Pale Ale (APA),American Pale Ale (APA),16.0,29
0.05,18.0,1050,The Lawn Ranger,Cream Ale,other,16.0,29
0.05,40.0,2377,Main St. Virginia Ale,Altbier,other,12.0,122
0.045,24.0,1839,Chin Music Amber Lager,American Amber / Red Lager,other,12.0,122
0.052,42.0,1247,Ray Ray’s Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,122
0.051,15.0,1649,Chai Ale,Herbed / Spiced Beer,other,16.0,350
0.072,85.0,1648,Lucky Day IPA,American IPA,American IPA,16.0,350
0.095,99.0,1647,Terrace Hill Double IPA,American Double / Imperial IPA,American Double / Imperial IPA,16.0,350
0.075,77.0,1646,Catch 23,American Black Ale,other,16.0,350
0.06,45.0,2056,Black Me Stout,American Stout,other,12.0,236
0.05,22.0,2055,Killer Kolsch,Kölsch,Kölsch,12.0,236
0.07,65.0,1933,Missile IPA,American IPA,American IPA,12.0,236
0.065,8.0,2018,Ale Cider,Fruit / Vegetable Beer,Fruit / Vegetable Beer,16.0,250
0.055,30.0,2017,Pail Ale,American Pale Ale (APA),American Pale Ale (APA),16.0,250
0.08,69.0,2080,8 Barrel,American Strong Ale,other,16.0,226
0.055,40.0,2079,Oktoberfest,Märzen / Oktoberfest,other,16.0,226
0.057,58.0,2380,IPA #11,American IPA,American IPA,16.0,121
0.057,10.0,2379,Blood Orange Honey,Fruit / Vegetable Beer,Fruit / Vegetable Beer,16.0,121
0.089,126.0,2440,Bay of Bengal Double IPA (2014),American Double / Imperial IPA,American Double / Imperial IPA,12.0,99
0.049,29.0,567,Churchkey Pilsner Style Beer,American Pilsner,other,12.0,526
0.055,25.0,2349,Cubano Espresso,Bock,other,12.0,141
0.062,65.0,2014,Operation Homefront,American IPA,American IPA,12.0,141
0.0819999999999999,65.0,2013,Wandering Pelican,American Black Ale,other,12.0,141
0.07,60.0,1726,Hopped on the High Seas (Hop #529),American IPA,American IPA,12.0,141
0.07,60.0,1725,Hopped on the High Seas (Calypso),American IPA,American IPA,12.0,141
0.07,60.0,1694,Dry-Hopped On The High Seas Caribbean-Style IPA,American IPA,American IPA,12.0,141
0.07,60.0,1693,Hopped on the High Seas (Citra),American IPA,American IPA,12.0,141
0.07,60.0,1692,Hopped on the High Seas (Ahtanum),American IPA,American IPA,12.0,141
0.075,70.0,1142,Humidor Series India Pale Ale,American IPA,American IPA,12.0,141
0.075,70.0,1141,Jai Alai IPA Aged on White Oak,American IPA,American IPA,12.0,141
0.08,65.0,1140,José Martí American Porter,American Porter,American Porter,12.0,141
0.055,25.0,1138,Maduro Brown Ale,English Brown Ale,other,12.0,141
0.072,75.0,569,Tocobaga Red Ale,American Amber / Red Ale,American Amber / Red Ale,12.0,141
0.075,70.0,546,Jai Alai IPA,American IPA,American IPA,12.0,141
0.05,18.0,545,Florida Cracker Belgian Wit,Witbier,other,12.0,141
0.067,60.0,1772,Jacaranada Rye IPA,American IPA,American IPA,16.0,320
0.06,75.0,1393,Cascadian Dark Ale,American Black Ale,other,12.0,418
0.044,13.0,893,Wheat the People,American Pale Wheat Ale,American Pale Wheat Ale,16.0,418
0.047,17.0,1407,Tybee Island Blonde,American Blonde Ale,American Blonde Ale,12.0,415
0.062,55.0,1406,Savannah Brown Ale,American Brown Ale,American Brown Ale,12.0,415
0.046,11.0,2438,Rhode Island Blueberry,Kölsch,Kölsch,12.0,101
0.065,75.0,2437,Newport Storm IPA,American IPA,American IPA,12.0,101
0.052,24.0,751,Hurricane Amber Ale (2004),American Amber / Red Ale,American Amber / Red Ale,12.0,101
0.052,24.0,120,Hurricane Amber Ale,American Amber / Red Ale,American Amber / Red Ale,12.0,101
0.068,75.0,970,Des Moines IPA,American IPA,American IPA,16.0,482
0.048,22.0,969,Capital Gold Golden Lager,German Pilsener,other,16.0,482
0.0559999999999999,21.0,968,Farmer John's Multi-Grain Ale,American Blonde Ale,American Blonde Ale,16.0,482
0.075,29.0,659,Crabtree Oatmeal Stout,Oatmeal Stout,other,16.0,515
0.077,71.0,556,Eclipse Black IPA,American Black Ale,other,16.0,515
